"","Age","WorkClass","Education","MaritalStatus","Occupation","RelationshipToFamily","Race","Sex","Hours-Per-Week","Label"
"144",45," Private"," Assoc-voc"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," >50K"
"145",70," Private"," Some-college"," Never-married"," Tech-support"," Other-relative"," White"," Male",40," <=50K"
"146",31," Private"," HS-grad"," Never-married"," Transport-moving"," Unmarried"," Black"," Female",30," <=50K"
"147",22," Private"," Some-college"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",24," <=50K"
"148",36," Private"," HS-grad"," Widowed"," Other-service"," Unmarried"," White"," Female",24," <=50K"
"151",47," Local-gov"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",38," <=50K"
"152",34," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"153",33," Private"," Bachelors"," Never-married"," Exec-managerial"," Other-relative"," Asian-Pac-Islander"," Female",40," <=50K"
"154",21," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",35," <=50K"
"156",48," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",46," <=50K"
"157",23," Private"," Bachelors"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," <=50K"
"160",42," Private"," Bachelors"," Separated"," Other-service"," Other-relative"," Black"," Male",50," <=50K"
"166",36," Private"," Some-college"," Divorced"," Other-service"," Unmarried"," White"," Female",40," <=50K"
"167",39," Federal-gov"," Assoc-acdm"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",42," <=50K"
"169",18," Private"," 11th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",16," <=50K"
"170",66," Local-gov"," Assoc-voc"," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",20," <=50K"
"171",27," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Male",40," <=50K"
"172",28," State-gov"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," <=50K"
"173",51," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," >50K"
"176",27," Private"," HS-grad"," Married-spouse-absent"," Sales"," Unmarried"," White"," Female",25," <=50K"
"177",21," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," Black"," Male",40," <=50K"
"178",34," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Not-in-family"," Black"," Male",40," <=50K"
"179",18," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Male",12," <=50K"
"180",33," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",65," <=50K"
"181",44," Local-gov"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",38," >50K"
"182",43," Private"," Some-college"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"183",30," Private"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",45," <=50K"
"186",34," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",40," <=50K"
"187",41," Self-emp-not-inc"," Bachelors"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"189",31," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",50," <=50K"
"191",38," Private"," Some-college"," Divorced"," Machine-op-inspct"," Not-in-family"," Black"," Female",28," <=50K"
"192",24," Private"," Some-college"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"193",41," Local-gov"," Bachelors"," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," <=50K"
"194",47," Private"," Some-college"," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",45," <=50K"
"195",41," Federal-gov"," Bachelors"," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",24," <=50K"
"197",36," Private"," Some-college"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"198",40," Federal-gov"," Masters"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",55," >50K"
"201",26," Private"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"203",51," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," >50K"
"204",42," Local-gov"," Some-college"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"205",37," State-gov"," HS-grad"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",35," <=50K"
"206",18," Private"," 11th"," Never-married"," Sales"," Own-child"," White"," Female",40," <=50K"
"208",35," Private"," HS-grad"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",60," <=50K"
"209",58," Self-emp-inc"," HS-grad"," Married-civ-spouse"," Sales"," Wife"," White"," Female",35," >50K"
"211",44," Local-gov"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",40," <=50K"
"215",54," Self-emp-inc"," 7th-8th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," >50K"
"217",50," Private"," Assoc-acdm"," Divorced"," Sales"," Not-in-family"," White"," Female",40," <=50K"
"218",38," Private"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," <=50K"
"219",45," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",55," <=50K"
"220",25," Private"," 10th"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"221",31," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"225",53," Local-gov"," Preschool"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",35," <=50K"
"226",18," Private"," HS-grad"," Never-married"," Sales"," Own-child"," White"," Female",40," <=50K"
"228",66," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",50," <=50K"
"229",75," Private"," Assoc-voc"," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",20," <=50K"
"230",65," Private"," HS-grad"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"231",35," Private"," 11th"," Separated"," Transport-moving"," Not-in-family"," Black"," Male",40," <=50K"
"233",25," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",42," <=50K"
"236",59," State-gov"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"238",41," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," >50K"
"239",38," Local-gov"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",70," >50K"
"240",23," Private"," HS-grad"," Never-married"," Transport-moving"," Own-child"," White"," Male",40," <=50K"
"242",41," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",20," <=50K"
"243",24," State-gov"," Assoc-acdm"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",50," <=50K"
"245",38," Private"," Some-college"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"246",56," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",35," <=50K"
"248",32," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",34," <=50K"
"250",45," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," <=50K"
"252",42," Private"," Bachelors"," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",40," <=50K"
"253",59," Local-gov"," 10th"," Widowed"," Other-service"," Unmarried"," Black"," Female",30," <=50K"
"254",19," Local-gov"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Male",40," <=50K"
"255",58," Private"," Some-college"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",20," <=50K"
"256",42," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male",40," >50K"
"257",20," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Female",40," <=50K"
"258",32," Private"," HS-grad"," Separated"," Other-service"," Not-in-family"," White"," Female",30," <=50K"
"259",45," Private"," Assoc-voc"," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",45," <=50K"
"260",50," Private"," 7th-8th"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"261",36," Private"," Bachelors"," Divorced"," Prof-specialty"," Own-child"," White"," Female",40," <=50K"
"263",17," Private"," 11th"," Never-married"," Other-service"," Own-child"," White"," Male",12," <=50K"
"264",59," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"265",26," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"270",33," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",40," >50K"
"271",61," Private"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," >50K"
"272",17," Private"," 9th"," Never-married"," Other-service"," Own-child"," White"," Male",24," <=50K"
"273",50," Self-emp-not-inc"," Masters"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",98," <=50K"
"274",27," Local-gov"," Masters"," Never-married"," Prof-specialty"," Own-child"," White"," Male",35," <=50K"
"275",30," Private"," HS-grad"," Divorced"," Prof-specialty"," Own-child"," White"," Female",40," <=50K"
"276",43," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",40," <=50K"
"279",25," Private"," Some-college"," Never-married"," Tech-support"," Own-child"," White"," Female",40," <=50K"
"281",22," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",15," <=50K"
"282",42," Local-gov"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," >50K"
"283",34," Private"," Assoc-acdm"," Divorced"," Sales"," Unmarried"," Black"," Female",45," <=50K"
"284",60," Private"," Bachelors"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",42," <=50K"
"285",21," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," <=50K"
"288",50," Private"," Some-college"," Divorced"," Other-service"," Not-in-family"," White"," Male",45," <=50K"
"289",25," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"290",50," Private"," 7th-8th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"291",36," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",45," <=50K"
"292",31," Private"," HS-grad"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"293",29," Local-gov"," Bachelors"," Never-married"," Protective-serv"," Not-in-family"," White"," Male",56," <=50K"
"294",21," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",45," <=50K"
"296",65," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",16," <=50K"
"297",37," Self-emp-inc"," Bachelors"," Divorced"," Sales"," Not-in-family"," White"," Female",60," <=50K"
"299",24," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"300",38," Private"," HS-grad"," Divorced"," Sales"," Not-in-family"," White"," Male",80," <=50K"
"301",48," Private"," Bachelors"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," >50K"
"302",21," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Female",25," <=50K"
"305",24," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Wife"," Asian-Pac-Islander"," Female",40," <=50K"
"306",43," Private"," HS-grad"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"308",46," Private"," Assoc-acdm"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",33," <=50K"
"309",35," Private"," Assoc-acdm"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," >50K"
"312",34," Private"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",35," >50K"
"315",22," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",15," <=50K"
"316",24," Private"," Some-college"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"317",77," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"321",39," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," <=50K"
"323",35," Private"," HS-grad"," Divorced"," Transport-moving"," Not-in-family"," White"," Male",45," <=50K"
"329",58," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"330",66," Private"," HS-grad"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",55," <=50K"
"331",41," Private"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," Black"," Male",45," <=50K"
"332",26," Private"," Bachelors"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",40," <=50K"
"333",47," Private"," Assoc-voc"," Never-married"," Other-service"," Not-in-family"," White"," Male",40," <=50K"
"335",53," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," <=50K"
"336",17," Private"," 5th-6th"," Never-married"," Other-service"," Other-relative"," White"," Male",48," <=50K"
"337",30," Private"," HS-grad"," Never-married"," Craft-repair"," Other-relative"," White"," Male",40," <=50K"
"338",49," Private"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",60," <=50K"
"339",19," Private"," HS-grad"," Never-married"," Sales"," Unmarried"," Black"," Male",30," <=50K"
"340",45," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",40," <=50K"
"342",38," Private"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," >50K"
"343",36," State-gov"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," >50K"
"345",22," State-gov"," Some-college"," Never-married"," Protective-serv"," Own-child"," Black"," Female",40," <=50K"
"346",43," Self-emp-not-inc"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Male",42," <=50K"
"349",56," Private"," Assoc-acdm"," Married-spouse-absent"," Other-service"," Not-in-family"," White"," Male",25," <=50K"
"350",31," Private"," Bachelors"," Never-married"," Prof-specialty"," Own-child"," White"," Male",25," <=50K"
"352",26," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"354",46," Local-gov"," 11th"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",30," <=50K"
"359",42," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",35," <=50K"
"361",36," Private"," 10th"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",24," <=50K"
"362",62," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," >50K"
"363",43," Private"," Bachelors"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",45," <=50K"
"366",28," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"367",56," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",45," <=50K"
"368",22," Private"," Assoc-acdm"," Never-married"," Sales"," Not-in-family"," White"," Female",15," <=50K"
"369",57," Private"," Bachelors"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",45," >50K"
"371",26," Federal-gov"," Some-college"," Never-married"," Adm-clerical"," Unmarried"," White"," Female",15," <=50K"
"372",17," Private"," 11th"," Never-married"," Other-service"," Own-child"," White"," Male",10," <=50K"
"373",40," State-gov"," Assoc-voc"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",38," >50K"
"374",45," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",40," <=50K"
"376",20," Local-gov"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",10," <=50K"
"377",33," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",40," <=50K"
"378",23," Private"," Some-college"," Never-married"," Sales"," Not-in-family"," White"," Male",40," <=50K"
"379",46," Self-emp-not-inc"," Masters"," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",30," <=50K"
"380",38," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," <=50K"
"381",54," Private"," HS-grad"," Divorced"," Transport-moving"," Not-in-family"," White"," Male",40," <=50K"
"382",46," Private"," 5th-6th"," Divorced"," Craft-repair"," Not-in-family"," White"," Female",45," <=50K"
"383",25," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"386",23," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",25," <=50K"
"387",29," Private"," HS-grad"," Separated"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"389",19," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",16," <=50K"
"391",35," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",40," >50K"
"392",27," Private"," Bachelors"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",50," <=50K"
"393",46," Self-emp-not-inc"," Assoc-acdm"," Separated"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"395",34," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",35," <=50K"
