"","Age","WorkClass","Education","MaritalStatus","Occupation","RelationshipToFamily","Race","Sex","Hours-Per-Week","Label"
"2315",40," Private"," Bachelors"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," <=50K"
"17823",35," Local-gov"," Assoc-acdm"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",52," <=50K"
"19519",29," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",35," <=50K"
"2544",54," Private"," HS-grad"," Widowed"," Machine-op-inspct"," Unmarried"," White"," Male",40," <=50K"
"17706",31," Private"," Assoc-voc"," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",40," <=50K"
"12644",45," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"9701",44," Private"," Assoc-voc"," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",40," <=50K"
"25441",46," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",40," <=50K"
"6932",35," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",35," <=50K"
"5791",35," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"15538",28," Self-emp-inc"," Some-college"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",30," <=50K"
"19186",30," Private"," Bachelors"," Married-spouse-absent"," Sales"," Not-in-family"," White"," Female",50," <=50K"
"27985",23," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",38," <=50K"
"23800",29," Private"," Assoc-voc"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"22",54," Private"," HS-grad"," Separated"," Other-service"," Unmarried"," Black"," Female",20," <=50K"
"29470",49," Self-emp-not-inc"," Some-college"," Never-married"," Craft-repair"," Unmarried"," White"," Male",40," <=50K"
"19985",36," Private"," 11th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"4108",52," Private"," Preschool"," Married-civ-spouse"," Other-service"," Not-in-family"," White"," Male",40," <=50K"
"30636",42," Private"," 10th"," Never-married"," Transport-moving"," Not-in-family"," Black"," Male",40," <=50K"
"19275",45," Local-gov"," Masters"," Divorced"," Prof-specialty"," Unmarried"," Black"," Female",40," <=50K"
"6077",29," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," <=50K"
"27813",28," Private"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Female",26," <=50K"
"944",18," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",45," <=50K"
"19524",31," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"15795",24," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",40," <=50K"
"19185",19," Private"," HS-grad"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",45," <=50K"
"5690",32," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Female",40," <=50K"
"7665",23," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",40," <=50K"
"25508",28," Private"," Some-college"," Divorced"," Sales"," Not-in-family"," White"," Male",30," <=50K"
"26764",63," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",40," <=50K"
"16246",37," Private"," Assoc-acdm"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"3816",20," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Female",16," <=50K"
"6663",21," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"21760",23," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",40," <=50K"
"32177",41," Local-gov"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"19397",28," Private"," Assoc-voc"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," <=50K"
"25343",41," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"30143",26," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"10094",42," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," <=50K"
"13172",32," Private"," Some-college"," Divorced"," Sales"," Unmarried"," White"," Female",40," <=50K"
"22046",24," Private"," HS-grad"," Never-married"," Sales"," Not-in-family"," White"," Female",48," <=50K"
"26903",78," Private"," 5th-6th"," Married-civ-spouse"," Transport-moving"," Husband"," Asian-Pac-Islander"," Male",36," <=50K"
"9695",27," Private"," HS-grad"," Never-married"," Sales"," Own-child"," Amer-Indian-Eskimo"," Male",20," <=50K"
"13218",21," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",20," <=50K"
"13931",34," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",45," <=50K"
"23356",19," Private"," 12th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",40," <=50K"
"3480",46," State-gov"," Masters"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",38," <=50K"
"12231",54," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",20," <=50K"
"22850",18," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"14735",30," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",60," <=50K"
"20622",41," Private"," Assoc-acdm"," Married-civ-spouse"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male",40," <=50K"
"12602",48," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",45," <=50K"
"7501",35," Self-emp-not-inc"," Some-college"," Separated"," Farming-fishing"," Not-in-family"," White"," Male",60," <=50K"
"3149",47," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",40," <=50K"
"6230",36," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",40," <=50K"
"10942",53," Private"," 5th-6th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"6147",53," Self-emp-inc"," Some-college"," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",60," <=50K"
"25698",60," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",50," <=50K"
"2967",27," Private"," HS-grad"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",35," <=50K"
"23272",29," Private"," Some-college"," Divorced"," Exec-managerial"," Own-child"," White"," Female",40," <=50K"
"1371",26," Private"," Assoc-acdm"," Never-married"," Other-service"," Own-child"," Black"," Male",40," <=50K"
"10718",28," Private"," Assoc-voc"," Never-married"," Sales"," Not-in-family"," White"," Male",40," <=50K"
"2213",42," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"12701",45," Self-emp-not-inc"," Some-college"," Never-married"," Farming-fishing"," Own-child"," White"," Male",75," <=50K"
"12518",35," Private"," HS-grad"," Never-married"," Sales"," Own-child"," White"," Female",40," <=50K"
"29824",38," Private"," Prof-school"," Married-civ-spouse"," Sales"," Wife"," White"," Female",40," <=50K"
"1990",30," Private"," Some-college"," Never-married"," Sales"," Not-in-family"," Black"," Female",35," <=50K"
"20126",62," Private"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",70," <=50K"
"10545",41," Private"," Bachelors"," Divorced"," Sales"," Not-in-family"," White"," Male",56," <=50K"
"11610",41," Local-gov"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",40," <=50K"
"21819",50," Local-gov"," Masters"," Divorced"," Prof-specialty"," Not-in-family"," Black"," Female",30," <=50K"
"6100",40," Private"," 9th"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"3104",20," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Female",20," <=50K"
"9152",20," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",30," <=50K"
"7922",29," Private"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," <=50K"
"14423",42," Private"," HS-grad"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"13779",38," Private"," Bachelors"," Never-married"," Sales"," Unmarried"," White"," Female",45," <=50K"
"29257",50," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," Black"," Male",40," <=50K"
"25270",36," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"8546",45," Private"," Some-college"," Widowed"," Exec-managerial"," Unmarried"," White"," Female",55," <=50K"
"18035",34," Federal-gov"," 12th"," Married-civ-spouse"," Armed-Forces"," Husband"," White"," Male",40," <=50K"
"21592",43," Private"," HS-grad"," Separated"," Machine-op-inspct"," Not-in-family"," White"," Female",40," <=50K"
"27091",34," Local-gov"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",35," <=50K"
"18966",45," Private"," Some-college"," Divorced"," Tech-support"," Not-in-family"," White"," Female",45," <=50K"
"4847",45," Private"," Assoc-acdm"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"7818",42," Private"," HS-grad"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",45," <=50K"
"16574",30," Private"," Doctorate"," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",15," <=50K"
"18479",32," Private"," 7th-8th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"22358",51," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",40," <=50K"
"7235",58," State-gov"," HS-grad"," Married-spouse-absent"," Other-service"," Unmarried"," Black"," Female",40," <=50K"
"10294",19," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",20," <=50K"
"24128",20," Private"," Some-college"," Never-married"," Farming-fishing"," Own-child"," White"," Male",40," <=50K"
"13523",20," Federal-gov"," Some-college"," Never-married"," Tech-support"," Own-child"," White"," Female",24," <=50K"
"11984",40," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Male",40," <=50K"
"22493",63," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20," <=50K"
"7888",25," Private"," Bachelors"," Never-married"," Exec-managerial"," Own-child"," White"," Female",20," <=50K"
"12103",34," Private"," HS-grad"," Separated"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"30820",18," Private"," 11th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",24," <=50K"
"2467",48," Private"," HS-grad"," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",55," <=50K"
"3447",33," Private"," Preschool"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",40," <=50K"
"25371",20," Local-gov"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",30," <=50K"
"2395",18," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",40," <=50K"
"24766",37," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",40," <=50K"
"5935",44," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"11790",26," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"17696",17," Private"," 10th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",20," <=50K"
"17027",36," Private"," HS-grad"," Divorced"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"18111",26," Private"," Bachelors"," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",40," <=50K"
"5383",26," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",45," <=50K"
"20474",43," Federal-gov"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"27352",46," Private"," Assoc-voc"," Divorced"," Tech-support"," Unmarried"," Black"," Female",40," <=50K"
"26614",28," Private"," Bachelors"," Married-spouse-absent"," Tech-support"," Unmarried"," Black"," Female",40," <=50K"
"28419",32," Federal-gov"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",40," <=50K"
"10104",20," Private"," Some-college"," Never-married"," Protective-serv"," Own-child"," White"," Male",40," <=50K"
"12083",36," Private"," HS-grad"," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",40," <=50K"
"7766",23," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," <=50K"
"6481",26," Private"," Bachelors"," Never-married"," Sales"," Own-child"," White"," Male",45," <=50K"
"13704",47," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"16817",49," Local-gov"," Bachelors"," Divorced"," Prof-specialty"," Unmarried"," White"," Female",50," <=50K"
"1807",59," Private"," 11th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," <=50K"
"32152",23," Private"," 12th"," Never-married"," Sales"," Own-child"," White"," Female",25," <=50K"
"16697",44," State-gov"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," <=50K"
"4905",17," Private"," 10th"," Never-married"," Other-service"," Own-child"," White"," Male",30," <=50K"
"6753",41," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Husband"," Amer-Indian-Eskimo"," Male",45," <=50K"
"15460",22," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",50," <=50K"
"11254",34," Private"," Prof-school"," Never-married"," Prof-specialty"," Not-in-family"," Asian-Pac-Islander"," Female",40," <=50K"
"5737",28," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",45," <=50K"
"27563",44," Private"," Assoc-acdm"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",43," <=50K"
"14922",34," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",50," <=50K"
"18004",30," Federal-gov"," Prof-school"," Never-married"," Prof-specialty"," Not-in-family"," Black"," Female",40," <=50K"
"10611",38," Federal-gov"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"29812",58," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," <=50K"
"8684",58," Private"," HS-grad"," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",37," <=50K"
"4768",21," Private"," Some-college"," Never-married"," Prof-specialty"," Own-child"," White"," Female",10," <=50K"
"10523",56," Self-emp-not-inc"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",20," <=50K"
"29580",26," Private"," 10th"," Never-married"," Adm-clerical"," Not-in-family"," Black"," Male",20," <=50K"
"23170",43," Private"," 5th-6th"," Separated"," Machine-op-inspct"," Not-in-family"," White"," Female",40," <=50K"
"25063",35," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",50," <=50K"
